biovolume,algae,ug
12896.478,0.01289648,1.110471189
1318.309,0.00131831,0.120017546
1836.703,0.001836705,0.264039408
805295.908,0.80529592,2.905955499
514538.8875,0.514538885,2.711418201
6240105.338,6.240105335,3.795191921
4630131.71,4.630131717,3.665593346
774004.2153,0.77400422,2.888743329
2185786.414,2.18578642,3.339607723
612528.612,0.61252861,2.787126379
786691.735,0.78669174,2.89580459
187854.251,0.18785425,2.273821025
57096.217,0.057096225,1.756607395
81729.61767,0.081729613,1.912379444
47502.2635,0.047502265,1.676714318
4232754.371,4.23275437,3.626623067
1544821.772,1.544821775,3.188878382
1161628.452,1.16162846,3.065067244
555439.31,0.55543932,2.744636621
296162.429,0.29616244,2.471529979
68664.556,0.06866455,1.836732578
17684.287,0.01768429,1.247587628
24137.4315,0.02413743,1.382691027
1221674.875,1.221674875,3.086955642
719488.6645,0.719488675,2.857023962
1391105.389,1.3911054,3.143360036
3160360.4,3.160360405,3.499736612
366609.028,0.36660903,2.564203158
1011104.417,1.01110442,3.004796009
864.503,0.00086451,-0.063229979
5220.6335,0.00522063,0.717722915
7354.3365,0.007354335,0.866543409
6495451.419,6.49545143,3.81260934
1746889.98,1.746889975,3.242265553
3394471.254,3.394471255,3.530772135
743484.084,0.74348408,2.871271674
386442.34,0.38644236,2.587084726
34648.617,0.03464863,1.539686067
17770.739,0.01777074,1.249705513
4638.71,0.00463871,0.666397222
155337.608,0.15533761,2.191276619
89144.6095,0.089144615,1.950095114
1340705.352,1.340705355,3.127333344
6554851.168,6.554851175,3.816562836
2418666.868,2.418666877,3.383576057
3172844.082,3.17284408,3.501448731
5036820.63,5.03682064,3.702156486
1591817.735,1.59181773,3.201893338
37249.325,0.03724933,1.571118466
8788.381,0.00878838,0.943908827
47171.7585,0.047171755,1.673682034
74769.214,0.074769215,1.873722821
204831.767,0.204831765,2.311397307
2958924.543,2.958924545,3.47113389
5402612.344,5.402612347,3.732603807
9510634.044,9.510634045,3.978209471
1249314.264,1.24931427,3.096671701
136486.933,0.13648694,2.135091097
17752.273,0.01775227,1.249253895
36578.106,0.03657811,1.563221262
12092.545,0.01209255,1.082517892
15176.015,0.015176015,1.181157747
37292.6505,0.037292655,1.571623303
4144463.243,4.144468367,3.617468829
2890558.051,2.8905,3.460972974
6108894.343,6.1088,3.785955907
53965.1247,0.0539,1.731588765
17204.30195,0.01719557,1.235416576
55620.2373,0.0556,1.745074792
20453.56,0.02045,1.310693312
24586.86745,0.0246,1.390935107
21456.6167,0.0215,1.33243846
1284947.094,1.284933333,3.108880596
1856686.185,1.85665,3.268730042
551407.3901,0.5514,2.741466762
268589.5564,0.2686,2.429106008
3770.7615,0.0038,0.579783597
34257.2106,0.034266667,1.53487186
87681.1417,0.08765,1.94275192
2396194.879,2.3961,3.379504939
1855974.865,1.8561,3.268601371
1388193.433,1.38825,3.142467682
577304.1954,0.5773,2.761401557
379641.9072,0.3797,2.579440597
94300.0714,0.0944,1.974971994
16418.8289,0.0164,1.214843848
6876.005,0.0069,0.838849091
14271.5367,0.0144,1.158362492
334902.2095,0.3349,2.524915148
666742.5736,0.66665,2.823897883
2940376.053,2.94045,3.468413799
3275425.564,3.2754,3.515264345
916391.4566,0.9163,2.962037687
1296268.785,1.2963,3.112705521
138398.1717,0.1384,2.14113609
2132.6666,0.0022,0.342422681
8720.07705,0.0087,0.939519253
1366.6678,0.00135,0.130333768
888898.3292,0.88885,2.948828477
5805385.468,5.80535,3.763828408
2446758.913,2.446766667,3.388592555
773972.1428,0.7741,2.888797067
1144430.904,1.14445,3.058596823
33263.6185,0.0332,1.521138084
41802.8093,0.0419,1.622214023
119918.9658,0.119866667,2.078698428
1158872.835,1.15875,3.063989747
968746.3683,0.96885,2.986256544
581234.7662,0.5813,2.764400323
1184317.957,1.1843,3.073461729
2714607.745,2.71455,3.433697845
601577.0423,0.6018,2.779452183
130759.2447,0.1309,2.116939647
7847.9362,0.008,0.903089987
13578.51033,0.013633333,1.134602053
25091.2173,0.02515,1.400537989
1496543.514,1.4965,3.175076721
4858328.026,4.8584,3.686493268
1065829.576,1.0658,3.027675716
1148106.564,1.148,3.059941888
1032392.335,1.0324,3.013847996
89752.5454,0.0897,1.952792443
21324.0319,0.0213,1.328379603
6631.02155,0.0066,0.819543936
20859.6276,0.0209,1.320146286
1239211.747,1.23915,3.093123881
10423019.57,10.423,4.017992738
14355488.44,14.35555,4.157019836
3109347.65,3.10935,3.492669611
367695.6813,0.3676,2.565375503
42523.1094,0.0425,1.62838893
8248.6854,0.00825,0.916453949
11656.97615,0.0116,1.064457989
88576.5797,0.0886,1.947433722
4628532.148,4.62865,3.665454342
8143695.843,8.14375,3.910824433
3211136.75,3.2114,3.506694403
127633.4138,0.1276,2.105850674
73635.5981,0.0737,1.867467488
19228.6813,0.0192,1.283301229
23763.4695,0.0238,1.376576957
225424.9838,0.2255,2.353146546
216224.5007,0.2162,2.33485569
1977086.145,1.97695,3.295995686
2126672.791,2.1266,3.32768581
1345546.978,1.345566667,3.12890522
2352250.905,2.3522,3.371474246
945079.9274,0.9451,2.975477763
66824.9995,0.066825,1.824938967
31052.1116,0.0310521,1.492090976
45890.83203,0.045890833,1.661725944
700906.8814,0.700906885,2.845660326
12317013.62,12.31701363,4.090505422
703801.6639,0.703801665,2.84745029
701125.2228,0.70112522,2.845795589
654033.8964,0.6540339,2.815600259
260921.3477,0.26092136,2.416509634
294265.118,0.29426513,2.468738802
199527.8057,0.1995278,2.300003414
27082.14977,0.027082153,1.432683193
988856.9416,0.988856935,2.995133464
774677.426,0.77467743,2.889120903
437489.9448,0.43748994,2.640968071
330609.0251,0.33060901,2.519314685
281612.4314,0.28161245,2.449651851
2129487.99,2.12948799,3.328275195
9336.4309,0.00933643,0.970180845
18511.5312,0.01851154,1.26744255
100121.2863,0.10012129,2.000526437
318957.8973,0.3189579,2.503733363
4055702.261,4.05570226,3.608066065
2059099.926,2.059099935,3.313677425
1258735.888,1.258735895,3.099934617
55936.0686,0.05593606,1.747691872
25145.8212,0.02514581,1.40046563
9353.0584,0.00935307,0.970954185
18126.5244,0.01812653,1.258314674
67438.73765,0.06743873,1.828909383
10466369.15,10.46636915,4.019796048
8385012.886,8.385012875,3.923503734
1151547.616,1.151547605,3.061281896
2093362.737,2.09336274,3.32084449
417354.9713,0.41735497,2.62050559
434091.9409,0.43409194,2.637581722
83364.91665,0.083364925,1.920983364
290083.562,0.290083563,2.462523122
7836861.874,7.836861895,3.894142193
9376082.466,9.376082465,3.972021418
2341906.256,2.341906253,3.369569506
12381636.69,12.38163671,4.092778057
1025264.88,1.02526488,3.010836081
1305473.197,1.30547321,3.115767964
749494.3555,0.74949436,2.874768369
574333.2398,0.574333235,2.759163948
50013.88875,0.050013885,1.699090591
610200.6111,0.61020062,2.785472645
821006.956,0.82100697,2.914346844
1081989.213,1.081989207,3.034222929
573140.5884,0.5731406,2.758261174
1757959.533,1.75795952,3.24500887
614949.7755,0.61494977,2.788839643
581075.7087,0.58107572,2.764232729
266869.2954,0.266869297,2.426298611
7371361.314,7.371361315,3.867547699
2246714.209,2.2467142,3.35154783
7182192.51,7.18219251,3.856257042
2816715.97,2.81671597,3.449743056
1398308.294,1.39830827,3.145602926
1947305.873,1.94730586,3.289434171
1286945.287,1.28694529,3.109560085
555724.2333,0.55572423,2.744859333
103046.9198,0.10304692,2.013035016
3023074.44,3.02307444,3.480448841
1048400.548,1.048400555,3.020527242
6154531.991,6.154532005,3.789195034
4471903.21,4.47190322,3.650492396
2610619.973,2.610619975,3.416743657
2240650.653,2.24065066,3.350374151
305102.284,0.30510228,2.484445453
